Sem. ep.,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,,13,,,14,,,15,,,16,,,17,,,18,,,19,,,20,,,21,,,22,,,23,,,24,,,25,,,26,,,27,,,28,,,29,,,30,,,31,,,32,,,33,,,34,,,35,,,36,,,37,,,38,,,39,,,40,,,41,,,42,,,43,,,44,,,45,,,46,,,47,,,48,,,49,,,50,,,51,,,52,,,53,,
E.F.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.
OAX,-,-,-,-,-,-,-,-,-,8,2,6,5,4,9,23,11,25,1,11,26,5,15,23,19,20,37,3,22,38,7,22,45,2,24,45,17,30,56,4,30,60,-,30,60,3,31,62,8,33,68,23,42,82,4,45,83,2,45,85,11,51,90,13,55,99,2,55,101,1,55,102,30,69,118,1,69,119,25,78,135,149,135,227,3,136,229,14,142,237,176,210,345,156,278,433,93,324,480,36,339,501,49,359,530,33,370,552,62,403,581,9,409,584,42,429,604,32,442,623,50,462,653,31,477,669,16,486,676,27,502,687,44,517,716,27,533,727,12,540,732,18,550,740,11,555,746,12,560,753,6,564,755,-,564,755,12,571,760
PUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,2,2,3,4,3,2,4,5,2,5,6,1,6,6,-,6,6,3,8,7,1,9,7,1,10,7,-,10,7,3,11,9,-,11,9,-,11,9,40,24,36,5,24,41,1,24,42,-,24,42,16,32,50,3,33,52,1,33,53,-,33,53,12,35,63,-,35,63,-,35,63,41,47,92,41,59,121,22,68,134,16,77,141,36,90,164,55,114,195,-,114,195,-,114,195,5,118,196,58,141,231,-,141,231,132,183,321,-,183,321,-,183,321,-,183,321,-,183,321,-,183,321,-,183,321,-,183,321,-,183,321,-,183,321,-,183,321
QUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,--,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1
ROO,-,-,-,-,-,-,13,8,5,11,13,11,5,15,14,19,27,21,9,29,28,9,34,32,4,36,34,10,40,40,6,41,45,2,42,46,7,44,51,5,47,53,9,50,59,3,50,62,21,60,73,24,71,86,15,81,91,14,87,99,8,93,101,10,97,107,17,105,116,11,112,120,13,120,125,20,127,138,17,136,146,8,139,151,13,146,157,4,146,158,5,150,159,9,157,161,4,158,164,5,159,168,12,166,173,9,172,176,11,181,178,3,182,180,9,188,183,3,189,185,4,191,187,4,192,190,9,196,195,7,199,199,4,202,200,1,203,200,5,207,201,12,214,206,-,214,206,1,215,206,-,215,206,-,215,206,-,215,206
SLP,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-,1,-,-,1,-,5,3,3,2,4,4,-,4,4,-,4,4,1,4,5,1,5,5,1,5,6,-,5,6,-,5,6,-,5,6,1,5,7,-,5,7,2,7,7,-,7,7,-,7,7,1,8,7,2,8,9,2,9,10,-,9,10,1,10,10,1,10,11,8,14,15,32,25,36,26,39,48,24,49,61,8,50,68,15,59,74,4,61,76,7,63,81,20,72,92,11,76,98,14,86,102,10,92,106,11,97,112,5,100,114,10,105,119,9,110,123,3,112,124,8,114,130,10,117,137,8,120,142,2,122,142,-,122,142,-,122,142,-,122,142
SIN,-,-,-,-,-,-,5,1,4,2,3,4,-,3,4,3,3,7,-,3,7,4,7,7,-,7,7,2,8,8,-,8,8,-,8,8,-,8,8,1,8,9,-,7,9,8,14,10,2,15,11,-,15,11,-,15,11,3,16,13,1,16,14,4,18,16,2,19,17,2,20,18,3,20,21,1,21,21,1,22,21,2,23,22,8,29,24,4,29,28,2,29,30,2,30,31,1,31,31,6,36,32,15,44,39,21,53,51,23,65,62,28,76,79,48,97,105,32,114,120,158,185,207,52,185,259,70,213,301,-,213,301,37,235,316,150,300,401,20,305,414,-,305,414,152,366,505,94,409,556,-,409,556,59,431,593,-,431,593
SON,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-,1,-,1,1,1,1,2,1,-,2,1,-,2,1,-,2,1,-,2,1,-,2,1,-,2,1,-,2,1,1,2,2,1,2,3,-,2,3,-,2,3,1,3,3,-,3,3,-,3,3,1,4,3,-,4,3,-,4,3,-,4,3,-,4,3,3,5,5,3,6,7,4,6,11,-,6,11,1,6,12,-,6,12,7,9,16,49,19,55,65,56,83,120,99,160,100,143,216,80,175,264,79,209,309,78,240,356,101,274,422,71,299,460,91,348,502,45,366,528,25,379,540,2,380,541,-,380,541,22,386,556
TAB,-,-,-,-,-,-,3,3,-,9,9,3,10,12,10,6,13,14,7,16,18,10,19,25,8,23,28,4,25,30,17,37,35,3,40,35,6,43,38,4,45,40,3,47,41,18,56,50,19,64,61,11,69,67,2,70,68,12,79,71,7,85,72,13,91,79,10,94,86,11,100,91,15,110,96,30,121,115,32,131,137,32,144,156,11,149,162,21,156,176,19,163,188,28,170,209,14,174,219,24,183,234,35,201,251,18,206,264,28,213,284,46,231,312,19,238,324,22,244,340,23,250,357,28,261,374,27,271,391,34,286,410,24,296,424,31,304,447,30,316,465,11,321,471,25,329,488,12,334,495,-,334,495,3,335,497,22,342,512
TAM,-,-,-,-,-,-,1,-,1,3,1,3,-,1,3,-,1,3,1,1,4,1,2,4,1,2,5,1,2,6,2,4,6,-,4,6,-,4,6,4,5,9,-,5,9,3,5,12,-,5,12,2,6,13,1,6,14,-,6,14,5,7,18,-,7,18,-,6,18,4,8,20,7,11,24,15,16,34,4,14,38,2,15,39,8,16,46,4,16,50,6,20,52,15,28,59,21,34,73,6,37,76,13,41,85,19,51,94,-,51,94,32,64,113,6,68,115,59,87,155,35,98,179,12,104,185,56,123,222,35,143,237,-,143,237,96,191,285,-,191,285,63,224,315,100,269,370,-,269,370,-,269,370,-,269,370,-,269,370
TLA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VER,-,-,-,4,2,2,9,8,5,44,32,25,-,32,25,125,83,99,43,101,124,80,140,165,35,156,182,57,187,208,23,200,218,2,200,220,62,223,259,16,229,268,10,234,273,16,239,283,10,243,289,4,247,289,17,253,300,24,260,317,30,276,331,22,285,344,19,293,355,38,304,382,31,316,401,25,322,420,15,327,430,24,340,441,29,349,461,41,370,481,61,394,518,70,423,559,73,452,603,89,488,656,100,536,708,103,578,769,34,595,786,21,605,797,89,646,845,92,683,900,122,749,956,63,766,1,70,794,1,78,829,1,65,848,1,30,863,1,38,877,1,28,889,1,51,916,1,21,925,1,-,925,1,-,925,1,20,933,1
YUC,-,-,-,2,1,1,5,5,2,4,7,4,6,11,6,7,15,9,9,19,14,10,22,19,7,25,23,4,25,27,7,28,31,8,33,34,8,37,38,7,39,43,9,44,47,12,51,52,5,54,54,5,58,55,2,58,57,6,60,61,3,61,63,8,65,67,8,68,72,-,68,72,4,70,74,7,73,78,10,79,82,9,88,82,9,94,85,10,97,92,12,105,96,8,109,100,2,110,101,11,117,105,12,120,114,22,130,126,16,141,131,5,144,133,27,159,145,15,169,150,21,182,157,20,191,168,27,209,176,34,225,194,24,237,206,10,242,211,33,258,228,23,269,240,16,280,245,20,288,257,6,290,261,-,290,261,-,290,261
ZAC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,-
